iter	Logloss
0	0.6756894401
1	0.6590681612
2	0.6453955147
3	0.6322077205
4	0.6186455716
5	0.6068785592
6	0.5967291928
7	0.5883109275
8	0.5786521569
9	0.5704343989
10	0.5611015063
11	0.553790789
12	0.5463816611
13	0.539376591
14	0.5317014201
15	0.5258390448
16	0.5202520563
17	0.5151318754
18	0.5097929279
19	0.5042804332
20	0.5000814374
21	0.4949655426
22	0.4910435623
23	0.4864687545
24	0.4830252401
25	0.4790958447
26	0.4755613777
27	0.4720651862
28	0.4678747627
29	0.4643625838
30	0.4616328036
31	0.4582793847
32	0.4543624621
33	0.4513596953
34	0.4486501887
35	0.4461945094
36	0.4436966971
37	0.4415069323
38	0.4380557028
39	0.4355321306
40	0.4329250636
41	0.4305421208
42	0.4283267246
43	0.4263961449
44	0.4244916252
45	0.4222715142
46	0.419937991
47	0.4184094547
48	0.4164722314
49	0.4148046086
