iter	Passed	Remaining
0	1	81
1	2	61
2	5	79
3	21	251
4	23	213
5	30	225
6	41	253
7	54	283
8	70	320
9	85	340
10	96	340
11	112	356
12	126	361
13	140	360
14	143	334
15	148	315
16	170	331
17	181	321
18	214	349
19	228	343
20	229	316
21	239	305
22	270	316
23	280	304
24	304	304
25	321	296
26	332	282
27	355	279
28	362	262
29	375	250
30	389	239
31	397	223
32	399	205
33	401	189
34	402	172
35	416	162
36	430	151
37	466	147
38	484	136
39	505	126
40	519	114
41	532	101
42	569	92
43	582	79
44	618	68
45	652	56
46	669	42
47	670	27
48	683	13
49	723	0
